,Country,Year,Health (%)
519,Qatar,2018 a 2019 (%),16.443850267379688
520,France,2018 a 2019 (%),15.088105726872225
521,Argentina,2018 a 2019 (%),18.41397849462365
522,Czech Republic,2018 a 2019 (%),7.728337236533966
523,Uruguay,2018 a 2019 (%),15.56420233463034
524,Colombia,2018 a 2019 (%),32.440944881889756
525,Thailand,2018 a 2019 (%),17.114568599717117
526,Saudi Arabia,2018 a 2019 (%),25.59241706161137
527,Spain,2018 a 2019 (%),10.05181347150259
528,Malta,2018 a 2019 (%),13.009049773755654
529,Taiwan Province of China,2018 a 2019 (%),6.651108518086346
530,Kuwait,2018 a 2019 (%),19.703703703703713
531,Suriname,2018 a 2019 (%),
532,Trinidad & Tobago,2018 a 2019 (%),26.418439716312058
533,El Salvador,2018 a 2019 (%),23.474178403755875
534,Guatemala,2018 a 2019 (%),22.697368421052634
535,Uzbekistan,2018 a 2019 (%),24.958677685950413
536,Slovakia,2018 a 2019 (%),13.530927835051543
537,Japan,2018 a 2019 (%),10.12145748987856
538,South Korea,2018 a 2019 (%),8.481675392670173
539,Ecuador,2018 a 2019 (%),17.934782608695656
540,Bahrain,2018 a 2019 (%),24.78510028653296
541,Italy,2018 a 2019 (%),9.830866807610983
542,Bolivia,2018 a 2019 (%),38.976377952755904
543,Moldova,2018 a 2019 (%),19.19354838709677
544,Paraguay,2018 a 2019 (%),26.34146341463415
545,Kazakhstan,2018 a 2019 (%),15.530903328050716
546,Slovenia,2018 a 2019 (%),11.331775700934577
547,Lithuania,2018 a 2019 (%),14.245810055865915
548,Nicaragua,2018 a 2019 (%),19.285714285714285
549,Peru,2018 a 2019 (%),26.706231454005923
550,Belarus,2018 a 2019 (%),12.714285714285722
551,Poland,2018 a 2019 (%),13.188220230473746
552,Malaysia,2018 a 2019 (%),23.76681614349774
553,Croatia,2018 a 2019 (%),24.01628222523746
554,Libya,2018 a 2019 (%),21.699819168173605
555,Russia,2018 a 2019 (%),21.202003338898166
556,Jamaica,2018 a 2019 (%),19.91341991341993
557,North Cyprus,2018 a 2019 (%),14.631463146314626
558,Cyprus,2018 a 2019 (%),14.631463146314626
559,Algeria,2018 a 2019 (%),14.264919941775833
560,Kosovo,2018 a 2019 (%),31.141868512110737
561,Turkmenistan,2018 a 2019 (%),27.07930367504836
562,Mauritius,2018 a 2019 (%),16.666666666666675
563,"Hong Kong S.A.R., China",2018 a 2019 (%),8.932038834951461
564,Estonia,2018 a 2019 (%),18.588873812754404
565,Indonesia,2018 a 2019 (%),26.436781609195403
566,Vietnam,2018 a 2019 (%),21.225071225071225
567,Turkey,2018 a 2019 (%),17.784256559766764
568,Kyrgyzstan,2018 a 2019 (%),21.717171717171713
569,Nigeria,2018 a 2019 (%),410.41666666666663
570,Bhutan,2018 a 2019 (%),14.61100569259961
571,Azerbaijan,2018 a 2019 (%),27.529021558872312
572,Pakistan,2018 a 2019 (%),26.179245283018872
573,Jordan,2018 a 2019 (%),26.3565891472868
574,Montenegro,2018 a 2019 (%),19.478737997256523
575,China,2018 a 2019 (%),11.764705882352944
576,Zambia,2018 a 2019 (%),44.40677966101696
577,Romania,2018 a 2019 (%),13.636363636363624
578,Serbia,2018 a 2019 (%),24.671532846715305
579,Portugal,2018 a 2019 (%),13.009049773755654
580,Latvia,2018 a 2019 (%),21.013412816691513
581,Philippines,2018 a 2019 (%),28.07017543859649
582,Somaliland Region,2018 a 2019 (%),
583,Morocco,2018 a 2019 (%),16.890881913303435
584,Macedonia,2018 a 2019 (%),21.27351664254704
585,Mozambique,2018 a 2019 (%),125.4335260115607
586,Albania,2018 a 2019 (%),10.632911392405052
587,Bosnia and Herzegovina,2018 a 2019 (%),11.477572559366745
588,Lesotho,2018 a 2019 (%),112.65822784810129
589,Dominican Republic,2018 a 2019 (%),26.87296416938112
590,Laos,2018 a 2019 (%),24.943310657596385
591,Mongolia,2018 a 2019 (%),16.000000000000014
592,Swaziland,2018 a 2019 (%),
593,Greece,2018 a 2019 (%),13.651877133105806
594,Lebanon,2018 a 2019 (%),3.821656050955413
595,Hungary,2018 a 2019 (%),13.114754098360649
596,Honduras,2018 a 2019 (%),33.11897106109325
597,Tajikistan,2018 a 2019 (%),20.06688963210703
598,Tunisia,2018 a 2019 (%),18.1159420289855
599,Palestinian Territories,2018 a 2019 (%),11.627906976744207
600,Bangladesh,2018 a 2019 (%),24.870466321243523
601,Iran,2018 a 2019 (%),13.603473227206964
602,Ukraine,2018 a 2019 (%),21.34646962233169
603,Iraq,2018 a 2019 (%),7.089552238805963
604,South Africa,2018 a 2019 (%),42.12121212121212
605,Ghana,2018 a 2019 (%),44.21364985163203
606,Zimbabwe,2018 a 2019 (%),74.59677419354837
607,Liberia,2018 a 2019 (%),65.91760299625466
608,India,2018 a 2019 (%),21.237113402061848
609,Sudan,2018 a 2019 (%),
610,Haiti,2018 a 2019 (%),55.36332179930796
611,Congo (Kinshasa),2018 a 2019 (%),75.0
612,Nepal,2018 a 2019 (%),25.60296846011132
613,Ethiopia,2018 a 2019 (%),36.06138107416881
614,Sierra Leone,2018 a 2019 (%),
615,Mauritania,2018 a 2019 (%),67.46575342465755
616,Kenya,2018 a 2019 (%),27.97356828193831
617,Djibouti,2018 a 2019 (%),
618,Armenia,2018 a 2019 (%),22.37237237237235
619,Botswana,2018 a 2019 (%),29.016786570743424
620,Myanmar,2018 a 2019 (%),29.370629370629374
621,Georgia,2018 a 2019 (%),16.95178849144634
622,Malawi,2018 a 2019 (%),61.76470588235294
623,Sri Lanka,2018 a 2019 (%),23.660714285714278
624,Cameroon,2018 a 2019 (%),81.86813186813188
625,Bulgaria,2018 a 2019 (%),14.466292134831459
626,Egypt,2018 a 2019 (%),16.455696202531644
627,Yemen,2018 a 2019 (%),34.98542274052478
628,Angola,2018 a 2019 (%),
629,Mali,2018 a 2019 (%),102.63157894736841
630,Congo (Brazzaville),2018 a 2019 (%),48.10495626822156
631,Comoros,2018 a 2019 (%),
632,Uganda,2018 a 2019 (%),86.91983122362869
633,Senegal,2018 a 2019 (%),31.870669745958423
634,Gabon,2018 a 2019 (%),41.33663366336631
635,Niger,2018 a 2019 (%),65.61085972850678
636,Cambodia,2018 a 2019 (%),39.38730853391685
637,Tanzania,2018 a 2019 (%),30.97112860892388
638,Madagascar,2018 a 2019 (%),38.05970149253732
639,Central African Republic,2018 a 2019 (%),950.0
640,Chad,2018 a 2019 (%),262.26415094339626
641,Guinea,2018 a 2019 (%),77.72511848341233
642,Ivory Coast,2018 a 2019 (%),190.0
643,Burkina Faso,2018 a 2019 (%),49.60629921259843
644,Afghanistan,2018 a 2019 (%),41.56862745098038
645,Rwanda,2018 a 2019 (%),53.49999999999999
646,Benin,2018 a 2019 (%),65.41666666666669
647,Syria,2018 a 2019 (%),-18.36734693877552
648,Burundi,2018 a 2019 (%),162.06896551724142
649,Togo,2018 a 2019 (%),62.055335968379445
650,Puerto Rico,2018 a 2019 (%),
651,Belize,2018 a 2019 (%),
652,Somalia,2018 a 2019 (%),133.04347826086956
653,Namibia,2018 a 2019 (%),30.684931506849324
654,South Sudan,2018 a 2019 (%),66.66666666666667
655,Gambia,2018 a 2019 (%),
